*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_PCB1_129990
*Date=11:59:23
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;161.547;-118.664;90;Bottom;J22
2;;;142.36;-123.76;90;Bottom;TXT16
3;;;65.141;-133.405;-90;Top;TXT2
4;;THT;203.457;-123.282;-180;Bottom;J16
5;;;152.656;-113.584;0;Bottom;Via14
6;;;205.499;-14.4604;-90;Top;TXT2
7;;;88.7631;-85.1368;90;Bottom;TXT16
8;;;139.956;-123.76;90;Bottom;TXT16
9;220;THT;51.0565;-103.424;0;Bottom;R31
10;;THT;86.6165;-133.123;180;Bottom;J12
11;;;147.569;-122.546;90;Bottom;TXT16
12;;;135.99;-26.6323;0;Top;TXT2
13;;;40.6914;-85.3249;90;Bottom;TXT16
14;;;170.882;-12.8554;-90;Bottom;TXT2
15;;THT;43.4365;-127.554;0;Bottom;J40
16;;TO92 [THT];132.527;-47.6329;180;Bottom;Q8
17;;;198.376;-111.044;0;Bottom;Via39
18;;THT;123.447;-9.444;90;Bottom;J18
19;;THT;16.7665;-90.724;90;Bottom;J82
20;;THT;38.3565;-57.704;0;Bottom;J68
21;;;161.688;-115.56;0;Bottom;TXT16
22;;;169.619;-73.2263;0;Bottom;TXT16
23;;TO92 [THT];38.4454;-100.693;-90;Bottom;Q7
24;;;44.7057;-133.693;0;Top;TXT2
25;;;126.316;-89.2188;-90;Bottom;TXT16
26;;;134.876;-75.484;0;Bottom;Via35
27;;;178.404;-54.1218;-90;Top;TXT2
28;;;127.256;-17.064;0;Bottom;Via25
29;;;144.878;-122.546;90;Bottom;TXT16
30;;;145.036;-17.064;0;Bottom;Via24
31;;;10.4166;-118.664;0;Bottom;Via47
32;;;7.87655;-6.90405;0;Bottom;Via38
33;;;41.3199;-85.8143;-90;Top;TXT2
34;;THT;86.6165;-90.724;90;Bottom;J70
35;;;96.7765;-136.444;0;Bottom;Via6
36;;;90.3508;-133.425;-90;Top;TXT2
37;;;155.194;-122.509;90;Bottom;TXT16
38;;THT;138.687;-118.664;90;Bottom;J23
39;;;145.34;-13.3542;-90;Top;TXT2
40;;;173.194;-54.2287;-90;Top;TXT2
41;;;78.9965;-126.284;0;Bottom;Via19
42;;;12.9565;-105.964;0;Bottom;Via16
43;;;109.476;-95.804;0;Bottom;Via29
44;;;85.0644;-86.0382;-90;Top;TXT2
45;220;THT;99.3165;-103.424;0;Bottom;R29
46;;;132.522;-36.9864;0;Top;TXT2
47;;THT;189.244;-53.6521;0;Bottom;J3
48;220;THT;132.337;-45.004;0;Bottom;R33
49;;THT;38.3565;-90.724;90;Bottom;J71
50;;;65.1678;-122.897;-90;Top;TXT2
51;;;165.356;-60.244;0;Bottom;Via12
52;;;196.096;-129.935;-90;Top;TXT2
53;;;137.871;-14.5133;-90;Top;TXT2
54;;;178.756;-34.4401;0;Bottom;TXT2
55;;THT;114.557;-122.474;0;Bottom;J62
56;;;38.827;-106.34;0;Bottom;TXT16
