*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_no_names_PCB1_129990
*Date=11:13:54
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;134.323;-79.1527;0;Bottom;TXT13
2;;;89.6739;-86.0024;-90;Top;TXT2
3;;THT;16.7665;-98.344;-90;Bottom;J6
4;;;172.976;-65.324;0;Bottom;Via10
5;;;196.325;-16.0762;0;Top;TXT2
6;;;88.7631;-85.1368;90;Bottom;TXT16
7;;THT;10.4165;-27.224;0;Bottom;J78
8;;;155.194;-122.509;90;Bottom;TXT16
9;;;96.7765;-136.444;0;Bottom;Via6
10;;;106.372;-100.696;0;Bottom;TXT16
11;;THT;86.6165;-9.66357;0;Bottom;J38
12;;;139.956;-123.76;90;Bottom;TXT16
13;;THT;114.557;-122.474;0;Bottom;J62
14;;;145.036;-17.064;0;Bottom;Via24
15;;THT;174.247;-42.464;90;Bottom;J74
16;;;133.918;-37.2083;0;Top;TXT2
17;;THT;98.0326;-99.5964;180;Bottom;U7
18;;;38.827;-106.34;0;Bottom;TXT16
19;;;165.306;-122.456;90;Bottom;TXT16
20;;TO92 [THT];38.4454;-100.693;-90;Bottom;Q7
21;;TO92 [THT];86.7054;-100.693;-90;Bottom;Q6
22;220;THT;114.557;-108.504;-90;Bottom;R22
23;;;157.724;-122.509;90;Bottom;TXT16
24;;;41.3199;-85.8143;-90;Top;TXT2
25;220;THT;132.337;-45.004;0;Bottom;R33
26;;;53.9274;-74.073;0;Top;TXT2
27;220;THT;99.3165;-103.424;0;Bottom;R29
28;;;96.7765;-133.904;0;Bottom;Via5
29;;;160.319;-122.509;90;Bottom;TXT16
30;;;162.816;-6.90405;0;Bottom;Via36
31;;;85.0644;-86.0382;-90;Top;TXT2
32;;;139.856;-27.6345;0;Top;TXT2
33;;;137.373;-123.813;90;Bottom;TXT16
34;;THT;124.717;-91.994;0;Bottom;J30
35;;;152.656;-113.584;0;Bottom;Via14
36;;;142.36;-123.76;90;Bottom;TXT16
37;;;23.1769;-127.247;0;Bottom;TXT16
38;;;51.0565;-123.744;0;Bottom;Via26
39;;THT;200.917;-130.094;-180;Bottom;J15
40;;;19.2282;-86.5013;-90;Top;TXT2
